inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks
INSP02177,26/04/2025,SCH0583,Hai,True,,na,Working,Jonathan Jain,Good condition
INSP00818,16/09/2025,SCH0078,True,False,True,Hai,False,Krishna Gaba,Average
INSP00602,2025-11-20,sch0360,True,True,True,Y,False,Umang Sagar,Average
INSP00018,15/03/2026,SCH0582,Hai,Yes,H,True,N,Unnati Goel,
INSP00171,02/04/2025,SCH0067,False,True,Kharab,na,Broken,Sneha Ghosh,Good condition
INSP01738,02-Oct-2025,S0230,True,True,Hai,Nahi hai,Nahi,Osha Bajwa,
INSP02283,21-Sep-2025,S0559,True,Haan,1,Haan,haan,Sai Warrior,Average
INSP02803,2026-02-19,SCH-0238,Broken,Available,True,na,Nahi hai,Ekaraj Sehgal,
INSP01408,10.03.2026,SCH0274,,True,Haan,Nahi,H,Kamala Roy,Average
INSP00179,12-09-2025,SCH0577,Working,H,True,True,Yes,Riya Kant,Good condition
INSP01337,2025-06-03,SCH0011,H,1,True,No,False,Imaran Tandon,Toilets locked
INSP01815,2025-05-01,sch_0240,False,False,True,True,Not Available,Lavanya Choudhry,Average
INSP02205,07/11/2025,sch0037,True,True,Functional,Nahi,Nahi,Rudra Bail,Toilets locked
INSP01412,05-Aug-2025,SCH0596,Nahi,Working,Functional,na,na,Sai Bhasin,Average
INSP02746,13.11.2025,SCH0422,1,True,Haan,Hai,,Isaac Kalla,
INSP01663,06/03/2026,sch_0456,0,1,haan,False,,Neel Ganesh,Needs repair
INSP01227,29/06/2025,SCH0398,True,False,,True,True,Isaiah Mangat,
INSP02025,2025-10-08,SCH0219,Haan,True,Functional,Hai,Available,Bhanumati Chaudhari,
INSP02771,03.02.2026,SCH0339,True,Functional,True,True,False,Rajata Mistry,Toilets locked
INSP02097,05.05.2025,sch_0564,na,False,True,True,,Laksh Dugar,Good condition
INSP00135,03-09-2026,SCH-0542,,H,True,False,Working,Jackson Narasimhan,Toilets locked
INSP02846,2026-02-12,SCH0258,False,1,Yes,True,False,Ishanvi Arya,Average
INSP02987,24/06/2025,SCH-0131,,1,Y,0,Functional,Kevin Gade,Needs repair
INSP00103,24/02/2026,0022,haan,True,Y,Yes,True,Netra Ram,Average
INSP00415,05-Nov-2025,SCH0093,True,True,Working,haan,True,Liam Sibal,Average
INSP02697,2026-02-12,sch0122,Yes,1,Yes,False,True,Hritik Naidu,Toilets locked
INSP01484,21/12/2025,S0362,Y,Available,Yes,True,Functional,Hamsini Pandya,Toilets locked
INSP01188,2025/06/15,sch0005,Nahi hai,na,Yes,Broken,True,Max Shenoy,Toilets locked
INSP01730,2025-10-26,SCH0476,False,1,True,True,0,,Good condition
INSP02006,2025/08/02,0075,H,True,Functional,na,Nahi hai,Zashil Hegde,Average
INSP02154,12-Oct-2025,0434,True,0,Functional,True,Under Repair,,No remarks
INSP02572,28/04/2025,SCH0556,haan,False,True,na,1,Girindra Tiwari,
INSP01147,30.09.2025,SCH0535,True,Nahi,True,No,False,Vritti Agarwal,No remarks
INSP00310,20/02/2026,SCH0037,True,Working,True,True,Under Repair,,
INSP02274,2025/12/19,0434,True,1,True,haan,na,Baghyawati Chana,Toilets locked
INSP02440,09.01.2026,sch_0458,Broken,True,Y,True,False,Shivansh Trivedi,Toilets locked
INSP00193,12.03.2026,SCH0533,False,haan,True,1,Y,Shivansh Tara,No remarks
INSP00195,07/12/2025,SCH0346,True,Available,Yes,True,False,Nimrat Hayer,Toilets locked
INSP00777,18.06.2025,S0058,Yes,False,Working,True,False,Oeshi Pradhan,Needs repair
INSP01678,03-24-2026,sch_0263,Working,H,Yes,1,False,Fitan Halder,Toilets locked
INSP01236,03/11/2025,SCH-0442,N,True,0,False,Nahi hai,,Good condition
INSP01394,14/09/2025,SCH0261,True,Y,Functional,False,Broken,Yamini Naidu,Needs repair
INSP00045,11-04-2025,SCH-0003,Haan,Functional,Broken,1,True,Nicholas Keer,No remarks
INSP01765,28.04.2025,S0167,False,True,N,False,False,Zinal Bhavsar,Average
INSP00946,2025/06/09,SCH0129,Hai,True,True,False,Haan,Isaac Khatri,
INSP02052,18/08/2025,SCH0398,Functional,Y,False,True,0,Peter Mody,No remarks
INSP00830,07-20-2025,SCH-0526,True,False,H,Y,False,Yatin Ghose,Toilets locked
INSP02967,16.09.2025,sch_0153,Not Available,True,True,False,False,Falak Jaggi,Good condition
INSP02922,2026/02/04,SCH0194,True,H,haan,Yes,0,Isaiah Nagarajan,
INSP01279,2025/12/13,SCH0475,haan,True,0,True,na,Ekani Oommen,Average
INSP02900,28.06.2025,S0138,Nahi,Yes,True,True,No,Maya Sastry,
INSP02808,30/04/2025,sch_0052,N,True,True,False,True,Vyanjana Badal,Good condition
INSP01802,02-28-2026,sch_0364,False,1,True,True,N,Aishani Dhillon,Needs repair
INSP00486,06-Sep-2025,SCH0501,,True,Haan,0,Hai,Faras Yohannan,Average
INSP02372,03-13-2026,SCH0600,True,False,True,True,False,Upkaar Narang,Good condition
INSP00443,2025-05-15,SCH0530,Working,Nahi,Haan,Yes,,Gauri Deshmukh,Average
INSP01642,26.11.2025,SCH0239,True,True,True,,True,Vasudha Jayaraman,Average
INSP02598,28/04/2025,SCH0223,Yes,Available,Hai,True,True,Pranav Master,Average
INSP01714,05/07/2025,sch0320,False,True,True,True,True,,Good condition
INSP02982,26-Sep-2025,SCH-0169,Under Repair,Y,,,True,Sanya Choudhry,Toilets locked
INSP00757,2025-10-22,SCH-0129,Broken,H,Yes,0,True,Bhanumati Sridhar,Needs repair
INSP01881,2025/04/29,SCH0593,Y,True,haan,True,Nahi,Hemani Chander,No remarks
INSP00241,2025-11-09,sch_0360,True,True,Haan,Haan,True,Peter Rajagopalan,Needs repair
INSP02355,01-22-2026,SCH0211,True,True,N,True,True,Alexander Gokhale,
INSP01666,2025-12-27,S0199,True,True,False,False,Nahi hai,Diya Saini,
INSP02431,16.03.2026,0083,True,Working,Haan,False,Haan,Ikshita Dhillon,No remarks
INSP01744,02-10-2026,sch_0308,H,Functional,True,0,Hai,Ekansh Bhandari,No remarks
INSP00140,10.07.2025,SCH0103,True,True,False,1,N,Zaitra Chandran,Good condition
INSP00195,07/12/2025,SCH0346,True,Available,Yes,True,False,Nimrat Hayer,Toilets locked
INSP00347,16/09/2025,sch_0194,,True,False,H,True,Neel Murthy,
INSP01537,2025-10-29,0105,True,Functional,Haan,False,True,Chandran Gopal,
INSP00315,13/11/2025,SCH0483,True,Available,Hai,Nahi hai,False,Anvi Tara,Needs repair
INSP01743,2026-02-06,SCH0257,True,True,True,True,Hai,,
INSP00323,02/10/2025,SCH0316,True,True,True,False,na,Raksha Jain,Good condition
INSP01682,2026-01-07,sch0302,Working,1,Hai,Haan,True,Vaishnavi Rau,Average
INSP01460,09-05-2025,0289,Working,False,True,na,,Charles Bahri,Average
INSP02034,12.01.2026,SCH-0386,Yes,False,0,False,False,Zarna Rau,
INSP00257,21/07/2025,sch0408,,Hai,H,True,Functional,Advay Rama,Average
INSP02300,17.01.2026,SCH0566,,No,True,N,True,Balhaar Wable,Toilets locked
INSP01732,11/12/2025,SCH0529,True,False,N,True,0,Dalaja Lala,Needs repair
INSP02601,01/03/2026,SCH0154,True,Haan,Functional,Nahi hai,na,Vrishti Dugar,Toilets locked
INSP00204,09/06/2025,SCH-0590,True,Hai,na,1,True,Jacob Mani,No remarks
INSP01785,04-03-2025,sch_0488,False,True,True,Not Available,False,Vidhi Om,Good condition
INSP00299,14/12/2025,sch0599,Nahi,True,H,No,False,Odika Bhandari,
INSP00052,2025-12-07,SCH-0320,False,True,Yes,Nahi,Kharab,Daksha Kapadia,Good condition
INSP00215,2025-05-19,SCH0419,True,True,True,Kharab,No,Ikbal Nagy,Needs repair
INSP00064,03.03.2026,SCH0051,Working,Haan,Functional,False,Nahi,Forum Choudhary,Toilets locked
INSP02497,23.02.2026,SCH0004,Y,True,Haan,Y,False,Ayushman Vyas,Needs repair
INSP02801,05/08/2025,SCH-0473,Nahi hai,na,N,True,True,Lavanya Thaker,Needs repair
INSP01358,11-12-2025,SCH0527,True,Nahi,Yes,False,False,Ojasvi Chad,Toilets locked
INSP00300,2025-04-13,sch_0443,False,Haan,Hai,N,True,Yauvani Narang,Toilets locked
INSP00433,27-Aug-2025,SCH0523,Working,Functional,Functional,Y,Yes,Viraj Munshi,Toilets locked
INSP01101,02-26-2026,sch0512,False,Haan,Hai,0,Yes,Abdul Dayal,Average
INSP00053,2025-04-05,SCH0112,True,True,Yes,Haan,False,Lipika Agarwal,Needs repair
INSP01227,29/06/2025,SCH0398,True,False,,True,True,Isaiah Mangat,
INSP00795,2025/10/20,0458,N,1,H,True,,Caleb Pandya,No remarks
INSP02078,10-15-2025,SCH0542,na,True,Yes,No,False,Raghav Bakshi,Average
INSP01252,22-Oct-2025,SCH-0450,True,Yes,Yes,False,False,Dev Sawhney,Average
INSP01075,2025/09/03,sch_0176,False,Yes,False,True,False,Oviya Sidhu,Average
INSP02378,2025/07/03,SCH-0441,Available,Working,True,True,Nahi,Manthan Bora,
INSP01588,2025-12-12,SCH0440,Available,Available,Functional,True,H,Yatin Mander,Toilets locked
INSP01289,2025-10-31,sch0546,True,True,1,True,True,Brijesh Natarajan,Toilets locked
INSP01675,2025/08/26,sch_0035,1,H,True,True,,Rachana Vaidya,No remarks
INSP02133,12-Jan-2026,SCH0367,Available,False,True,Under Repair,Nahi,Krishna Viswanathan,Toilets locked
INSP01448,2026-03-03,sch_0422,True,1,True,,False,Isaac Pall,Average
INSP02897,14.10.2025,sch_0263,Y,Yes,False,False,False,Idika Muni,No remarks
INSP00071,2025/08/20,0047,Hai,,True,False,N,Advaith Ghosh,No remarks
INSP00643,30/03/2026,sch0506,Working,Functional,Working,1,True,Anjali Lalla,No remarks
INSP02543,04-Mar-2026,SCH0164,False,Haan,Y,False,Working,Quincy Ramaswamy,No remarks
INSP00945,11/12/2025,SCH0073,Yes,True,Y,No,H,Omaja Ghose,Toilets locked
INSP02852,2026-01-11,SCH0050,1,Hai,Yes,,N,Hardik Venkatesh,
INSP02539,2025-04-21,SCH0131,True,,Hai,True,1,Jeet Swaminathan,
INSP01106,13/04/2025,SCH0254,True,,True,1,na,,No remarks
INSP01175,2025-04-22,SCH0422,Broken,na,True,Nahi hai,Kharab,Amaira Tara,Average
INSP02670,2025-08-10,sch0525,0,H,Broken,True,Under Repair,Krish Kala,
INSP01757,25-Apr-2025,sch_0354,,Yes,True,True,True,Siya Kashyap,
INSP00479,2025-07-09,SCH0535,True,N,True,Nahi hai,,Eiravati Buch,Toilets locked
INSP02178,03-01-2026,S0160,haan,True,False,na,True,Madhav Rattan,Needs repair
INSP02429,14/06/2025,0291,True,Y,False,True,False,Ekantika Nath,Needs repair
INSP00730,10-09-2025,SCH-0305,Y,False,Y,H,N,Eshana Dey,Needs repair
INSP01761,2025/07/18,S0564,Nahi hai,Y,Yes,H,,Tanveer Reddy,Average
INSP02282,30/10/2025,SCH0168,True,True,haan,False,Functional,Yug Sur,Average
INSP00290,12-28-2025,S0416,,True,,1,True,Warjas Vala,
INSP01092,23/12/2025,SCH0532,Yes,True,True,False,Y,Balendra Warrior,Needs repair
INSP01420,2025-05-01,sch0040,False,Y,haan,True,,Darsh Nori,Needs repair
INSP00451,2025-07-15,0490,True,True,N,Nahi hai,na,Qushi Tella,Average
INSP02443,02-23-2026,sch0473,1,,True,Yes,,Chavvi Pradhan,
INSP00808,02.07.2025,SCH0493,Working,Nahi,False,haan,,Azaan Basak,
INSP00464,30-Jun-2025,SCH0227,True,1,Hai,Available,Nahi,Bhavya Doshi,Average
INSP02529,2025-07-19,SCH0041,Yes,Available,No,True,1,Advik Raja,Needs repair
INSP02699,12-03-2025,SCH-0482,Haan,True,False,True,False,,
INSP00568,31.03.2026,0043,1,H,False,False,Nahi,Edhitha Srivastava,Needs repair
INSP01611,11/06/2025,SCH0493,True,Available,True,H,True,Zehaan Virk,Needs repair
INSP00077,2025-08-18,SCH0186,No,Not Available,H,True,False,Aachal Chandra,Good condition
INSP00332,20-Aug-2025,SCH-0450,1,True,True,True,haan,Fiyaz Chanda,Average
INSP00612,2026/03/17,SCH0327,True,True,Hai,0,,Geetika Raman,
INSP01074,10/12/2025,S0265,Nahi hai,Available,Haan,H,Kharab,Tanvi Wagle,Toilets locked
INSP00145,22/11/2025,sch_0215,No,True,True,True,Kharab,Yachana Mangat,Toilets locked
INSP00786,13/02/2026,SCH0313,na,False,Not Available,True,True,Zarna Bhargava,No remarks
INSP00046,14-Nov-2025,S0280,True,H,True,Y,No,Naksh Ray,Good condition
INSP02908,12-Jun-2025,SCH0248,True,True,Nahi hai,True,False,Bhavani Gaba,Toilets locked
INSP00344,01-06-2026,SCH-0451,Y,1,1,Working,True,Ganga Korpal,Toilets locked
INSP02171,2025-11-27,S0171,True,True,False,False,False,Anirudh Muni,Good condition
INSP01560,06.09.2025,0554,True,True,True,False,No,,Needs repair
INSP00545,02-Jun-2025,SCH-0302,False,H,True,True,True,Ishanvi Wason,Needs repair
INSP01024,11/08/2025,SCH0428,True,Y,Hai,True,Y,Rehaan Ahluwalia,No remarks
INSP00153,15.10.2025,sch0540,True,H,Y,Yes,True,Geetika Kulkarni,
INSP01981,2025/05/03,sch_0499,True,1,True,0,False,,Toilets locked
INSP01323,2025-09-07,SCH0264,Haan,Functional,H,Yes,False,Triya Dutta,No remarks
INSP01019,06-06-2025,sch_0303,Available,True,True,haan,Under Repair,Vedant Hayer,No remarks
INSP02182,2026-01-29,SCH0248,Haan,Working,True,False,True,Krisha Mital,Good condition
INSP00001,2025-09-22,0087,True,True,True,haan,,Ira Ranganathan,Good condition
INSP01463,2025-06-28,S0247,Nahi,Working,0,True,True,Alexander Garde,Needs repair
INSP00622,2025/10/05,sch_0089,False,True,True,False,False,Girish Batta,Average
INSP00409,17.04.2025,sch_0069,H,True,True,Nahi,Working,Vaishnavi Sarkar,No remarks
INSP02837,06-04-2025,sch0424,False,Under Repair,Nahi,False,Under Repair,Gabriel Biswas,Average
INSP01967,30/08/2025,SCH0105,True,na,Y,False,False,Yoshita Sridhar,Toilets locked
INSP02845,11-29-2025,SCH0341,True,True,True,True,True,Parth Bawa,Average
INSP01622,2026-03-15,SCH0546,True,True,False,Nahi,Y,Chaman Dubey,
INSP01367,2025/12/21,sch0078,True,Functional,Hai,True,Hai,Suhani Viswanathan,Good condition
INSP00888,21/08/2025,sch_0179,No,Nahi hai,True,,na,Niharika Subramaniam,
INSP01845,05-20-2025,SCH-0105,True,Working,True,True,Under Repair,Wridesh Patil,
INSP00033,2025/06/24,SCH-0323,Working,True,True,Yes,1,Urvi Dani,
INSP00212,22/05/2025,SCH0080,Working,True,Available,False,False,Daksh Vora,Good condition
INSP02551,2025/12/20,sch_0186,True,True,Working,1,Kharab,David Cheema,Toilets locked
INSP00015,2025-04-05,SCH0124,True,True,False,H,Y,Yashoda Jani,Average
INSP00094,28-Oct-2025,SCH0234,Y,na,True,No,True,Ekapad Rattan,Needs repair
INSP01256,30.08.2025,SCH0037,H,True,True,haan,True,Manya Mody,No remarks
INSP01398,2025-11-05,sch_0517,1,haan,haan,Nahi,False,Wahab Patil,Toilets locked
INSP02819,2025-11-10,SCH-0116,True,True,False,,Hai,,Good condition
INSP00355,03/02/2026,SCH0410,True,Y,,True,False,Yoshita Nazareth,Average
INSP00150,30/12/2025,SCH0428,True,False,False,No,True,Christopher Dutt,Good condition
INSP00255,05-May-2025,sch_0540,True,True,na,True,Available,Jai Varughese,Average
INSP02030,04/04/2025,sch0010,True,True,False,True,False,,
INSP00599,13.04.2025,S0292,True,Y,na,True,No,Bakhshi Shan,
INSP00185,30/05/2025,S0041,False,True,Y,False,False,Osha Iyengar,No remarks
INSP00579,2025/06/07,sch0345,0,Yes,Under Repair,False,False,,Average
INSP01091,12-09-2025,S0447,H,Y,True,True,True,,
INSP01174,25-Nov-2025,sch_0340,1,1,True,Yes,False,Maanav Rau,Needs repair
INSP02252,04-12-2025,SCH0476,True,1,Working,No,Nahi,Anita Kannan,
INSP00472,2025-08-26,SCH-0242,Available,True,Haan,False,Available,Janya Lalla,Average
INSP01966,2026-03-13,0281,Y,Y,False,False,True,Vihaan Varma,Good condition
INSP01964,21/06/2025,SCH0598,H,True,H,Available,False,Jeevika Pandit,Average
INSP01303,17/03/2026,sch_0359,True,Yes,,True,0,Vihaan Bora,Good condition
INSP02998,20-Mar-2026,SCH0117,haan,1,,True,0,Arya Shenoy,Toilets locked
INSP00258,07.06.2025,SCH-0067,False,True,H,Y,Nahi hai,Unnati Iyengar,Toilets locked
INSP01802,02-28-2026,sch_0364,False,1,True,True,N,Aishani Dhillon,Needs repair
INSP00933,02-Jul-2025,SCH0176,0,True,Y,True,Hai,Yashasvi Sethi,No remarks
INSP01685,20/11/2025,SCH0505,Available,Y,Nahi hai,Nahi hai,False,Ayushman Chand,Average
INSP00719,12/06/2025,SCH0533,True,haan,True,Haan,Haan,Harinakshi Boase,
INSP00597,06/02/2026,0014,N,True,False,True,No,Rohan Rau,No remarks
INSP00611,2025-09-01,S0432,haan,1,1,Functional,Hai,Nachiket Purohit,No remarks
INSP00756,24/10/2025,sch0489,,haan,Functional,False,False,Suhani Baral,Toilets locked
INSP02326,08-14-2025,SCH0196,Working,haan,1,True,Haan,Wazir Varty,Good condition
INSP01507,2025/09/28,sch0177,False,,True,False,Yes,Chanchal Parmer,
INSP02488,12-13-2025,SCH-0209,True,na,True,True,False,Urvi Datta,Toilets locked
INSP01887,16-Jul-2025,0019,True,Working,True,True,Under Repair,Balvan Vohra,
INSP01339,11-Apr-2025,sch0428,0,True,False,1,H,,Good condition
INSP02612,2025-09-08,SCH0400,,Working,haan,N,False,Wahab Thakkar,No remarks
INSP00175,18/04/2025,sch_0427,1,Hai,Working,N,Not Available,Abdul Ratti,Average
INSP01392,10-Jul-2025,S0428,1,H,True,True,1,Yug Pradhan,Needs repair
INSP02249,17/03/2026,SCH0026,haan,True,True,True,Under Repair,Tanmayi Goel,
INSP00121,2025/09/08,SCH0480,True,H,haan,H,True,Ekanta Ramesh,No remarks
INSP02893,09/01/2026,sch_0257,True,1,Hai,Y,True,Maya Cheema,Toilets locked
INSP00529,2026-03-25,sch0080,Haan,Working,haan,,True,Jacob Buch,Needs repair
INSP02568,2026-01-24,sch_0356,True,True,False,True,True,Mahika Swaminathan,
INSP00904,2026-02-13,S0380,,H,1,,False,Sai Vasa,Toilets locked
INSP01091,12-09-2025,S0447,H,Y,True,True,True,,
INSP02916,2026-03-19,sch_0327,True,1,Nahi,False,True,Aditya Korpal,Needs repair
INSP00440,10-15-2025,SCH-0026,haan,True,1,True,True,Ronith Desai,Toilets locked
INSP01379,06/04/2025,sch_0026,True,H,Yes,1,,Samar Sandal,Average
INSP02773,27-Aug-2025,SCH0124,True,True,True,Available,True,Pratyush Parsa,Good condition
INSP02145,07-12-2025,SCH0522,Yes,,False,haan,H,Hemal Contractor,Good condition
INSP00189,12/10/2025,SCH-0311,True,1,True,haan,Working,Ishanvi Mangal,Average
INSP01951,13.08.2025,SCH-0202,Haan,Y,0,haan,True,,Average
INSP01265,12/01/2026,SCH-0122,Y,Y,True,na,N,Maanas Murty,Toilets locked
INSP02351,20-Apr-2025,SCH0204,True,False,Y,False,Nahi hai,Leena Wason,
INSP01115,2025/04/09,sch_0269,,False,na,True,H,Darsh Krishna,No remarks
INSP00271,01-12-2026,SCH0240,haan,H,Yes,True,False,Timothy Ghosh,Toilets locked
INSP00001,2025-09-22,0087,True,True,True,haan,,Ira Ranganathan,Good condition
INSP00252,04/10/2025,SCH0111,Y,True,haan,1,False,Mohini Soni,
INSP00369,03-27-2026,0347,Nahi,True,Nahi hai,Yes,Haan,Geetika Mishra,Toilets locked
INSP00388,2025-06-27,sch_0573,Available,True,H,Nahi hai,Functional,Ishaan Chandran,Average
INSP00292,25.11.2025,0371,True,True,True,False,1,Chasmum Ganguly,No remarks
INSP01422,09.01.2026,sch0024,True,True,,haan,Nahi,George Rai,Good condition
INSP00810,25/10/2025,sch_0511,Nahi hai,True,True,False,False,Ira Lall,
INSP01953,2025/06/06,SCH0033,Kharab,,na,Nahi hai,True,Ria Ray,No remarks
INSP02483,2025-06-27,SCH0237,,H,1,True,True,Bhanumati Balay,Needs repair
INSP00247,2025/12/19,sch0255,No,True,False,True,False,,Needs repair
INSP01238,2025/05/20,SCH0211,1,Y,na,True,Yes,Finn Oommen,No remarks
INSP02432,2025-08-05,S0406,True,,Haan,Under Repair,True,Lekha Khanna,Average
INSP01150,09-Oct-2025,SCH0432,na,True,True,False,Nahi,Abhimanyu Gopal,Needs repair
INSP02168,03/09/2025,S0592,Not Available,1,H,True,Not Available,Isha Nazareth,
INSP00977,28.08.2025,0305,1,Yes,True,Working,N,Samar Modi,Good condition
INSP02500,09-14-2025,SCH0294,Y,Haan,1,True,,,Needs repair
INSP00719,12/06/2025,SCH0533,True,haan,True,Haan,Haan,Harinakshi Boase,
INSP02165,31-Oct-2025,SCH0541,True,True,haan,Hai,True,Vansha Mand,Toilets locked
INSP00444,04-Feb-2026,SCH0458,Hai,True,Working,True,haan,Abha Om,Toilets locked
INSP02806,12/10/2025,0599,Hai,True,False,False,True,Abhiram Karnik,Needs repair
INSP00565,21-Jul-2025,S0573,True,Nahi hai,True,Yes,False,Lohit Palan,Good condition
INSP02093,29-Oct-2025,S0375,Yes,Yes,True,Working,True,Rudra Master,Toilets locked
INSP00677,11-04-2025,SCH0143,0,True,Y,True,False,Turvi Agarwal,Needs repair
INSP00880,2025-07-08,SCH0590,Working,Y,True,,False,,Toilets locked
INSP02660,07/03/2026,sch0552,True,Y,False,True,na,Nidra Bhatt,No remarks
INSP01860,08-17-2025,SCH0576,True,True,Available,H,Nahi hai,Onveer Kalla,Toilets locked
INSP02795,15.12.2025,SCH0260,True,True,True,1,N,Arin Seshadri,Average
INSP00176,2025/11/13,SCH0556,1,True,Hai,False,False,Tanay Master,Toilets locked
INSP00556,16-Jun-2025,sch0479,na,True,Haan,False,Broken,Banjeet Garde,Toilets locked
INSP02222,19.11.2025,SCH-0140,Functional,True,True,,,Tanvi Gupta,Average
INSP01557,23/04/2025,S0097,N,True,True,Y,Yes,Vidhi Dora,Good condition
INSP02959,24/02/2026,SCH0062,False,H,True,Available,0,Zinal Halder,No remarks
INSP02293,2026-03-07,0237,False,haan,Haan,Broken,0,Janani Varkey,No remarks
INSP01809,19-Dec-2025,S0294,Available,Haan,,Nahi hai,haan,Nathaniel Mani,Needs repair
INSP00868,2025-04-09,sch_0321,Working,0,True,N,Kharab,,Good condition
INSP02119,2025-04-30,sch_0022,True,True,True,True,Haan,Dalbir Tandon,Good condition
INSP00450,2025-12-28,SCH0066,Nahi,Hai,Haan,Nahi hai,True,,Toilets locked
INSP01135,2025/10/20,SCH-0317,Haan,False,False,na,False,Advik Peri,Needs repair
INSP01851,02-28-2026,SCH0294,True,True,True,True,True,Keya Dua,
INSP00582,27.12.2025,S0312,False,H,False,,False,Lekha Mammen,
INSP02491,2026-01-27,SCH0066,False,Hai,Haan,Broken,True,Eta Lalla,Average
INSP02051,22.10.2025,SCH0072,Functional,H,Y,Available,Yes,Thomas Dhar,Good condition
INSP02664,06-13-2025,sch0199,No,True,False,,Nahi hai,Bakhshi Koshy,No remarks
INSP01426,2026-01-18,SCH-0067,True,1,1,True,True,Urvi Chandra,Average
INSP02172,05-25-2025,SCH-0172,False,Functional,haan,Yes,Hai,Upadhriti Singhal,No remarks
INSP00765,26/04/2025,SCH0333,na,True,False,Nahi,na,Maanas Gupta,
INSP02549,04-10-2025,SCH0193,True,Yes,True,Nahi hai,False,Advik Morar,Good condition
INSP00508,2026/03/14,SCH0042,Hai,True,False,True,True,,Good condition
INSP01946,13/11/2025,SCH0282,haan,Yes,Hai,False,True,Yug Sachdeva,Average
INSP00267,2025-12-26,SCH0482,True,True,Functional,False,False,Manthan Maharaj,Needs repair
INSP00197,2026-01-14,SCH0416,H,False,,Functional,True,Rajata Sarraf,Average
INSP02941,04-18-2025,SCH0198,Available,,True,False,False,Jalsa Dhar,Average
INSP00089,2025-06-14,SCH0256,H,True,False,No,True,Thomas Kar,No remarks
INSP02884,12/06/2025,SCH0265,haan,True,True,False,Y,Nitara Chandra,Needs repair
INSP01318,06.06.2025,S0350,Y,True,True,True,False,,Good condition
INSP02826,13.04.2025,SCH0414,Functional,True,True,True,True,Warinder Palan,Good condition
INSP00679,2025/07/25,SCH0278,True,1,Nahi,True,No,Wishi Hayre,No remarks
INSP00913,2025/05/03,S0592,Under Repair,Yes,haan,haan,False,Aarini Korpal,Toilets locked
INSP00728,2026/03/30,SCH-0033,H,True,True,True,True,Ridhi Gour,No remarks
INSP00411,23/01/2026,SCH0049,True,Working,True,True,False,Harita Bala,Needs repair
INSP00991,22.01.2026,SCH0546,1,True,True,Yes,False,Keya Sampath,Good condition
INSP00583,25/06/2025,sch0152,False,N,Y,True,False,,Needs repair
INSP02724,2025-12-23,sch0574,haan,Y,True,,False,Urvi D’Alia,
INSP00026,09-25-2025,0114,,True,True,Y,1,,Needs repair
INSP02359,08-03-2025,sch0388,,True,True,True,Not Available,Eshana Devan,
INSP02709,11.12.2025,sch_0525,Available,1,True,Yes,,,No remarks
